,"A","B","C","D","E","F","G","H","I","J","K"
1,Erica Rogers0,CEO0,Permanent0,76,18,71,1,15,11,33,50
2,Malcolm Barrett0,Exec. Vice Presiden0,Permanent0,97,46,79,58,93,42,26,50
3,Esther Baker0,Director of Operations0,Permanent0,64,27,84,28,48,22,65,50
4,Brittany Hanson0,Fleet Coordinator0,Permanent0,69,11,76,7,1,50,19,50
5,Leah Flowers0,Parts Technician0,Permanent0,43,17,70,10,53,18,13,50
6,Tammy Sutton0,Service Technician0,Permanent0,76,84,92,49,45,75,51,50
7,Derek Paul0,Inventory Control0,Permanent0,78,8,22,75,74,96,32,50
8,Francis Strickland0,VP Sales0,Permanent0,69,65,62,86,37,27,26,50
9,Morris Hanson0,Sales Manager0,Permanent0,6,67,47,25,47,21,8,50
10,Todd Tyler0,Sales Executive0,Permanent0,63,29,53,93,22,55,56,50
11,Bennie Wise0,Sales Executive0,Permanent0,83,55,19,23,77,20,45,50
12,Joel Cooper0,Sales Executive0,Permanent0,79,91,50,4,2,21,44,50
13,Erica Rogers1,CEO1,Permanent1,35,20,15,92,96,5,46,50
14,Malcolm Barrett1,Exec. Vice Presiden1,Permanent1,86,57,30,55,59,3,74,50
15,Esther Baker1,Director of Operations1,Permanent1,76,54,83,54,0,10,32,50
16,Brittany Hanson1,Fleet Coordinator1,Permanent1,85,79,76,79,54,77,11,50
17,Leah Flowers1,Parts Technician1,Permanent1,14,31,30,5,4,77,91,50
18,Tammy Sutton1,Service Technician1,Permanent1,56,5,4,8,89,92,83,50
19,Derek Paul1,Inventory Control1,Permanent1,13,6,99,38,12,94,36,50
20,Francis Strickland1,VP Sales1,Permanent1,46,46,72,77,79,14,27,50
21,Morris Hanson1,Sales Manager1,Permanent1,45,31,39,14,37,5,79,50
22,Todd Tyler1,Sales Executive1,Permanent1,57,84,47,36,45,52,41,50
23,Bennie Wise1,Sales Executive1,Permanent1,58,96,64,60,73,45,62,50
24,Joel Cooper1,Sales Executive1,Permanent1,4,42,62,89,80,93,10,50
25,Erica Rogers2,CEO2,Permanent2,27,5,83,81,18,42,62,50
26,Malcolm Barrett2,Exec. Vice Presiden2,Permanent2,72,93,74,92,33,46,4,50
27,Esther Baker2,Director of Operations2,Permanent2,73,38,74,70,57,4,97,50
28,Brittany Hanson2,Fleet Coordinator2,Permanent2,5,5,0,52,24,49,8,50
29,Leah Flowers2,Parts Technician2,Permanent2,64,63,39,49,43,28,83,50
30,Tammy Sutton2,Service Technician2,Permanent2,2,72,44,87,6,35,92,50
31,Derek Paul2,Inventory Control2,Permanent2,0,68,97,13,2,98,10,50
32,Francis Strickland2,VP Sales2,Permanent2,11,34,86,69,52,68,9,50
33,Morris Hanson2,Sales Manager2,Permanent2,46,23,26,78,99,85,65,50
34,Todd Tyler2,Sales Executive2,Permanent2,67,38,13,93,19,17,74,50
35,Bennie Wise2,Sales Executive2,Permanent2,60,40,43,26,75,71,33,50
36,Joel Cooper2,Sales Executive2,Permanent2,41,75,33,17,89,9,17,50
37,Erica Rogers3,CEO3,Permanent3,68,32,59,3,93,8,86,50
38,Malcolm Barrett3,Exec. Vice Presiden3,Permanent3,79,13,37,82,96,23,39,50
39,Esther Baker3,Director of Operations3,Permanent3,75,24,9,71,17,0,71,50
40,Brittany Hanson3,Fleet Coordinator3,Permanent3,21,98,12,57,26,41,26,50
41,Leah Flowers3,Parts Technician3,Permanent3,10,11,52,73,28,44,43,50
42,Tammy Sutton3,Service Technician3,Permanent3,44,28,54,24,43,85,42,50
43,Derek Paul3,Inventory Control3,Permanent3,37,53,30,9,57,70,46,50
44,Francis Strickland3,VP Sales3,Permanent3,20,36,22,5,57,80,95,50
45,Morris Hanson3,Sales Manager3,Permanent3,11,72,61,92,47,51,64,50
46,Todd Tyler3,Sales Executive3,Permanent3,67,60,10,16,1,98,35,50
47,Bennie Wise3,Sales Executive3,Permanent3,50,94,90,14,84,94,23,50
48,Joel Cooper3,Sales Executive3,Permanent3,34,95,89,65,38,96,12,50
49,Erica Rogers4,CEO4,Permanent4,61,52,74,27,0,71,54,50
50,Malcolm Barrett4,Exec. Vice Presiden4,Permanent4,7,88,62,82,29,86,54,50
51,Esther Baker4,Director of Operations4,Permanent4,94,43,26,5,40,68,13,50
52,Brittany Hanson4,Fleet Coordinator4,Permanent4,78,62,31,94,59,86,63,50
53,Leah Flowers4,Parts Technician4,Permanent4,38,19,60,21,91,27,19,50
54,Tammy Sutton4,Service Technician4,Permanent4,8,71,68,80,98,27,13,50
55,Derek Paul4,Inventory Control4,Permanent4,73,21,89,95,66,1,90,50
56,Francis Strickland4,VP Sales4,Permanent4,36,99,90,43,79,46,57,50
57,Morris Hanson4,Sales Manager4,Permanent4,58,14,73,74,53,25,72,50
58,Todd Tyler4,Sales Executive4,Permanent4,75,36,58,46,34,86,88,50
59,Bennie Wise4,Sales Executive4,Permanent4,23,12,33,55,20,67,96,50
60,Joel Cooper4,Sales Executive4,Permanent4,45,84,18,69,39,7,10,50
61,Erica Rogers5,CEO5,Permanent5,52,29,38,63,38,72,74,50
62,Malcolm Barrett5,Exec. Vice Presiden5,Permanent5,4,8,91,76,96,86,13,50
63,Esther Baker5,Director of Operations5,Permanent5,15,79,41,54,17,44,38,50
64,Brittany Hanson5,Fleet Coordinator5,Permanent5,70,28,27,34,58,16,35,50
65,Leah Flowers5,Parts Technician5,Permanent5,87,40,80,98,12,3,89,50
66,Tammy Sutton5,Service Technician5,Permanent5,92,89,83,0,96,30,54,50
67,Derek Paul5,Inventory Control5,Permanent5,42,15,67,17,59,6,50,50
68,Francis Strickland5,VP Sales5,Permanent5,88,26,57,95,28,90,52,50
69,Morris Hanson5,Sales Manager5,Permanent5,59,79,30,65,67,25,49,50
70,Todd Tyler5,Sales Executive5,Permanent5,17,42,46,66,23,81,16,50
71,Bennie Wise5,Sales Executive5,Permanent5,39,93,2,7,43,69,47,50
72,Joel Cooper5,Sales Executive5,Permanent5,89,55,54,17,58,96,21,50
73,Erica Rogers6,CEO6,Permanent6,48,2,87,75,55,60,6,50
74,Malcolm Barrett6,Exec. Vice Presiden6,Permanent6,57,69,16,96,24,37,46,50
75,Esther Baker6,Director of Operations6,Permanent6,17,54,87,76,18,13,50,50
76,Brittany Hanson6,Fleet Coordinator6,Permanent6,87,71,60,42,81,21,39,50
77,Leah Flowers6,Parts Technician6,Permanent6,56,67,68,43,75,33,82,50
78,Tammy Sutton6,Service Technician6,Permanent6,64,4,70,48,23,13,73,50
79,Derek Paul6,Inventory Control6,Permanent6,14,82,69,26,76,35,54,50
80,Francis Strickland6,VP Sales6,Permanent6,39,66,19,22,61,6,14,50
81,Morris Hanson6,Sales Manager6,Permanent6,50,50,35,16,16,4,54,50
82,Todd Tyler6,Sales Executive6,Permanent6,35,14,85,32,17,28,95,50
83,Bennie Wise6,Sales Executive6,Permanent6,46,31,47,16,19,36,85,50
84,Joel Cooper6,Sales Executive6,Permanent6,90,28,79,31,16,57,20,50
85,Erica Rogers7,CEO7,Permanent7,38,31,44,72,53,14,27,50
86,Malcolm Barrett7,Exec. Vice Presiden7,Permanent7,2,95,47,51,74,34,68,50
87,Esther Baker7,Director of Operations7,Permanent7,49,40,21,83,65,91,57,50
88,Brittany Hanson7,Fleet Coordinator7,Permanent7,88,65,91,28,58,52,65,50
89,Leah Flowers7,Parts Technician7,Permanent7,27,46,62,60,91,60,57,50
90,Tammy Sutton7,Service Technician7,Permanent7,32,25,47,82,86,30,42,50
91,Derek Paul7,Inventory Control7,Permanent7,15,17,49,96,76,19,85,50
